S/no,PLOT NO,SPECIES,DB,DBH,THT(m),BA,WD,AGB(kg),Trees/ha,AGB(kg)/ha
360,P15,Gmelina arborea,21.0,17.2,6.1,0.0232,0.425,43.898,0.529,23.222
361,P15,Gmelina arborea,26.1,22.3,7.1,0.0390,0.425,84.488,0.529,44.694
362,P15,Gmelina arborea,33.4,25.1,7.4,0.0497,0.425,111.397,0.529,58.929
363,P15,Gmelina arborea,20.8,17.2,7.1,0.0232,0.425,50.909,0.529,26.931
364,P15,Gmelina arborea,28.3,23.2,7.2,0.0424,0.425,92.960,0.529,49.176
365,P15,Gmelina arborea,27.7,21.3,6.8,0.0357,0.425,74.364,0.529,39.338
366,P15,Daniella olivera,19.1,15.0,5.7,0.0176,0.533,39.123,0.529,20.696
367,P15,Gmelina arborea,21.3,18.1,7.3,0.0258,0.425,58.131,0.529,30.751
368,P15,Gmelina arborea,20.1,15.4,6.3,0.0187,0.425,36.733,0.529,19.432
369,P15,Gmelina arborea,29.9,24.5,6.8,0.0472,0.425,97.565,0.529,51.612
370,P15,Gmelina arborea,21.0,16.9,6.2,0.0223,0.425,43.003,0.529,22.748
371,P15,Gmelina arborea,22.6,20.4,6.1,0.0326,0.425,61.162,0.529,32.355
372,P15,Gmelina arborea,20.1,15.6,6.3,0.0191,0.425,37.476,0.529,19.825
373,P15,Gmelina arborea,22.6,16.9,6.1,0.0223,0.425,42.326,0.529,22.390
374,P15,Gmelina arborea,16.9,15.6,6.3,0.0191,0.425,37.476,0.529,19.825
375,P15,Gmelina arborea,19.1,15.3,5.2,0.0183,0.425,29.849,0.529,15.790
376,P15,Gmelina arborea,21.0,17.2,5.3,0.0232,0.425,38.270,0.529,20.245
377,P15,Gmelina arborea,21.6,17.5,5.4,0.0241,0.425,40.396,0.529,21.370
378,P15,Gmelina arborea,17.8,14.3,5.2,0.0161,0.425,26.316,0.529,13.921
379,P15,Gmelina arborea,25.8,20.4,5.3,0.0326,0.425,53.320,0.529,28.206
380,P15,Gmelina arborea,34.4,19.1,6.1,0.0286,0.425,53.922,0.529,28.525
381,P15,Gmelina arborea,34.4,19.1,6.4,0.0286,0.425,56.509,0.529,29.893
382,P15,Ptericarpus erinaceous,24.8,16.9,7.3,0.0223,0.740,86.754,0.529,45.893
383,P15,Gmelina arborea,26.7,21.6,6.3,0.0368,0.425,71.047,0.529,37.584
384,P15,Gmelina arborea,24.8,20.4,6.1,0.0326,0.425,61.162,0.529,32.355
385,P15,Gmelina arborea,26.7,22.3,6.1,0.0390,0.425,72.853,0.529,38.539
386,P15,Gmelina arborea,19.1,15.3,5.3,0.0183,0.425,30.410,0.529,16.087
387,P15,Ptericarpus erinaceous,20.7,17.5,6.1,0.0241,0.740,78.265,0.529,41.402
388,P15,Gmelina arborea,26.4,21.6,6.7,0.0368,0.425,75.447,0.529,39.911
389,P15,Gmelina arborea,25.5,23.9,6.5,0.0448,0.425,88.686,0.529,46.915
390,P15,Gmelina arborea,22.0,18.1,6.3,0.0258,0.425,50.345,0.529,26.633
391,P15,Anthocleista djalonensis,28.6,22.6,5.8,0.0401,0.523,87.412,0.529,46.241
392,P15,Ptericarpus erinaceous,33.7,29.6,7.4,0.0688,0.740,263.481,0.529,139.381
393,P15,Gmelina arborea,23.1,21.6,6.8,0.0368,0.425,76.546,0.529,40.493
394,P15,Ptericarpus erinaceous,19.1,16.9,5.3,0.0223,0.740,63.472,0.529,33.576
395,P15,Anthocleista djalonensis,30.6,19.7,6.3,0.0306,0.523,72.730,0.529,38.474
396,P16,Gmelina arborea,32.8,22.6,7.4,0.0401,0.425,90.440,0.529,47.843
397,P16,Gmelina arborea,24.2,19.1,7.1,0.0286,0.425,62.534,0.529,33.080
398,P16,Gmelina arborea,35.0,24.8,7.4,0.0484,0.425,108.661,0.529,57.482
399,P16,Gmelina arborea,32.8,25.8,6.7,0.0522,0.425,106.156,0.529,56.157
400,P16,Gmelina arborea,27.1,22.6,6.8,0.0401,0.425,83.276,0.529,44.053
401,P16,Gmelina arborea,24.2,21.0,5.8,0.0347,0.425,61.829,0.529,32.707
402,P16,Gmelina arborea,28.6,23.9,6.3,0.0448,0.425,86.022,0.529,45.506
403,P16,Khaya senegalensis,25.1,18.5,7.4,0.0268,0.648,92.063,0.529,48.701
404,P16,Khaya senegalensis,38.2,33.7,7.1,0.0894,0.648,286.898,0.529,151.769
405,P16,Gmelina arborea,37.2,29.3,7.2,0.0673,0.425,146.017,0.529,77.243
406,P16,Gmelina arborea,25.5,21.6,7.4,0.0368,0.425,83.131,0.529,43.976
407,P16,Gmelina arborea,26.4,21.0,7.2,0.0347,0.425,76.356,0.529,40.392
408,P16,Gmelina arborea,25.5,20.4,7.4,0.0326,0.425,73.853,0.529,39.068
409,P16,Gmelina arborea,24.2,19.1,6.1,0.0286,0.425,53.922,0.529,28.525
410,P16,Gmelina arborea,40.1,31.2,7.5,0.0764,0.425,171.897,0.529,90.933
411,P16,Gmelina arborea,35.3,27.7,7.4,0.0602,0.425,134.476,0.529,71.138
412,P16,Gmelina arborea,37.6,22.0,7.1,0.0379,0.425,82.148,0.529,43.456
413,P16,Gmelina arborea,37.6,20.7,6.3,0.0336,0.425,65.058,0.529,34.415
414,P16,Gmelina arborea,23.2,20.1,7.2,0.0316,0.425,69.727,0.529,36.886
415,P16,Gmelina arborea,29.6,18.1,6.2,0.0258,0.425,49.565,0.529,26.220
416,P16,Gmelina arborea,25.1,22.0,6.1,0.0379,0.425,70.835,0.529,37.472
417,P16,Gmelina arborea,29.6,24.2,7.3,0.0460,0.425,101.926,0.529,53.919
418,P16,Gmelina arborea,36.1,30.9,7.1,0.0749,0.425,159.713,0.529,84.488
419,P16,Gmelina arborea,28.6,24.2,5.4,0.0460,0.425,75.945,0.529,40.175
420,P16,Gmelina arborea,27.1,22.8,6.1,0.0407,0.425,75.931,0.529,40.168
421,P16,Gmelina arborea,26.9,17.8,6.3,0.0249,0.425,48.636,0.529,25.728
422,P16,Gmelina arborea,29.0,21.0,6.4,0.0347,0.425,68.064,0.529,36.006
423,P16,Daniella olivera,35.0,26.1,6.7,0.0535,0.533,135.760,0.529,71.817
424,P16,Gmelina arborea,26.1,23.2,7.4,0.0424,0.425,95.480,0.529,50.509
425,P16,Gmelina arborea,31.5,27.7,6.4,0.0602,0.425,116.710,0.529,61.740
426,P16,Gmelina arborea,22.9,19.1,6.2,0.0286,0.425,54.785,0.529,28.981
427,P16,Gmelina arborea,33.1,29.6,7.1,0.0688,0.425,147.110,0.529,77.821
428,P16,Gmelina arborea,23.6,21.3,6.8,0.0357,0.425,74.364,0.529,39.338
429,P16,Daniella olivera,30.6,24.2,5.7,0.0460,0.533,99.963,0.529,52.881
430,P17,Vitex doniana,23.2,20.4,6.4,0.0326,0.400,60.475,0.529,31.991
431,P17,Daniella olivera,18.8,15.0,7.1,0.0176,0.533,48.475,0.529,25.643
432,P17,Gmelina arborea,27.4,24.5,6.8,0.0472,0.425,97.565,0.529,51.612
433,P17,Gmelina arborea,27.4,16.2,6.7,0.0207,0.425,43.029,0.529,22.762
434,P17,Gmelina arborea,40.7,19.4,7.4,0.0296,0.425,67.246,0.529,35.573
435,P17,Gmelina arborea,23.9,16.2,6.4,0.0207,0.425,41.147,0.529,21.767
436,P17,Gmelina arborea,23.6,20.4,6.8,0.0326,0.425,68.003,0.529,35.973
437,P17,Gmelina arborea,21.6,18.5,7.2,0.0268,0.425,59.334,0.529,31.388
438,P17,Gmelina arborea,28.6,22.0,6.7,0.0379,0.425,77.628,0.529,41.065
439,P17,Gmelina arborea,27.4,18.8,6.4,0.0277,0.425,54.685,0.529,28.928
440,P17,Gmelina arborea,40.7,16.5,7.3,0.0215,0.425,48.593,0.529,25.706
441,P17,Gmelina arborea,29.6,19.4,7.1,0.0296,0.425,64.584,0.529,34.165
442,P17,Khaya senegalensis,23.6,15.0,6.1,0.0176,0.648,50.573,0.529,26.753
443,P17,Khaya senegalensis,29.3,24.8,7.2,0.0484,0.648,159.819,0.529,84.544
444,P17,Gmelina arborea,22.6,19.4,6.8,0.0296,0.425,61.919,0.529,32.755
445,P17,Gmelina arborea,25.1,21.3,7.1,0.0357,0.425,77.564,0.529,41.031
446,P17,Gmelina arborea,26.1,22.6,7.3,0.0401,0.425,89.247,0.529,47.212
447,P17,Gmelina arborea,19.7,16.5,6.4,0.0215,0.425,42.737,0.529,22.608
448,P17,Gmelina arborea,23.2,19.4,6.8,0.0296,0.425,61.919,0.529,32.755
449,P17,Gmelina arborea,16.9,15.0,5.8,0.0176,0.425,31.869,0.529,16.859
450,P17,Gmelina arborea,24.2,20.4,6.1,0.0326,0.425,61.162,0.529,32.355
451,P17,Daniella olivera,15.9,14.0,5.7,0.0154,0.533,34.396,0.529,18.196
452,P17,Gmelina arborea,29.3,24.8,7.4,0.0484,0.425,108.661,0.529,57.482
453,P17,Gmelina arborea,15.3,13.0,6.1,0.0134,0.425,25.643,0.529,13.565
454,P17,Daniella olivera,17.8,14.0,5.1,0.0154,0.533,30.858,0.529,16.324
455,P17,Gmelina arborea,28.0,20.4,7.4,0.0326,0.425,73.853,0.529,39.068
