,S.NO,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
82,82,Tectona grandis,12,5.19,3.4,P4,0.615,0.002115556346909,11.782698254361,0.011782698254361,7.85513216957398,0.00785513216957398,5.53786817954966,0.00553786817954966,5.23675477971599,0.00523675477971599
83,83,Tectona grandis,20,13.08,8.7,P4,0.615,0.0134370944342281,117.863889655008,0.117863889655008,78.575926436672,0.078575926436672,55.3960281378537,0.0553960281378537,52.3839509577813,0.0523839509577813
84,84,Tectona grandis,18,9.23,7.05,P4,0.615,0.00669103471945025,53.8489032787088,0.0538489032787088,35.8992688524725,0.0358992688524725,25.3089845409931,0.0253089845409931,23.9328459016483,0.0239328459016483
85,85,Tectona grandis,17.6,8.31,6.2,P4,0.615,0.00542365341113905,42.9179272673977,0.0429179272673977,28.6119515115985,0.0286119515115985,20.1714258156769,0.0201714258156769,19.0746343410657,0.0190746343410657
86,86,Tectona grandis,14,6.14,3.6,P4,0.615,0.00296091966008184,19.0144076497609,0.0190144076497609,12.6762717665073,0.0126762717665073,8.93677159538764,0.00893677159538764,8.45084784433819,0.00845084784433819
87,87,Tectona grandis,16,7.8,5.7,P5,0.615,0.00477836242611008,34.5578682634252,0.0345578682634252,23.0385788422835,0.0230385788422835,16.2421980838099,0.0162421980838099,15.3590525615223,0.0153590525615223
88,88,Tectona grandis,18,9.23,7.2,P5,0.615,0.00669103471945025,53.8489032787088,0.0538489032787088,35.8992688524725,0.0358992688524725,25.3089845409931,0.0253089845409931,23.9328459016483,0.0239328459016483
89,89,Tectona grandis,17.4,8.75,6.5,P5,0.615,0.00601320468851171,46.9389059695315,0.0469389059695315,31.2926039796877,0.0312926039796877,22.0612858056798,0.0220612858056798,20.8617359864585,0.0208617359864585
90,90,Tectona grandis,17,8.34,6.8,P5,0.615,0.00546288404940076,41.782214598697,0.041782214598697,27.8548097324647,0.0278548097324647,19.6376408613876,0.0196376408613876,18.5698731549764,0.0185698731549764
91,91,Tectona grandis,12,6.37,4.05,P5,0.615,0.00318690227363619,17.5759272091472,0.0175759272091472,11.7172848060982,0.0117172848060982,8.2606857882992,0.0082606857882992,7.81152320406543,0.00781152320406543
92,92,Tectona grandis,14.4,7.1,4.7,P5,0.615,0.00395919214168654,25.9522649430469,0.0259522649430469,17.3015099620313,0.0173015099620313,12.197564523232,0.012197564523232,11.5343399746875,0.0115343399746875
